1,eth.dst
2,eth.src
3,eth.type
4,pad
5,ip.vhl
6,ip.dsf
7,ip.len
8,ip.id
9,ip.flags
10,ip.offset
11,ip.ttl
12,ip.p
13,ip.sum
14,ip.dst
15,ip.src
16,tcp.dport
17,tcp.sport
18,tcp.seq
19,tcp.ack
20,tcp.flags
21,tcp.win
22,tcp.sum
23,tcp.urp
24,unknow
25,udp.dport
26,udp.sport
27,udp.len
28,udp.sum
29,ntp.vpeer
30,ntp.rdelay
31,ntp.rdis
32,ntp.id
33,ntp.reftime
34,ntp.otime
35,ntp.rectime
36,ntp.ttime
37,arp.ht
38,arp.p
39,arp.hs
40,arp.ps
41,arp.opcode
42,arp.sen_mac
43,arp.sen_ip
44,arp.tar_mac
45,arp.ter_ip
46,arp.data
47,dns.id
48,dns.flags
49,dns.qt
50,dns.ansRR
51,dns.authRR
52,dns.addRR
53,dns.quer
54,tcp.opts
55,ssl
56,ip6.vtf
57,ip6.pl
58,ip6.p
59,ip6.hl
60,ip6.src
61,ip6.dst
62,dhcp.mtype
63,dhcp.tid
64,dhcp.time
65,dhcp.cid
66,dhcp.ia
67,dhcp.fq
68,dhcp.vc
69,dhcp.or
