1,eth.dst
2,eth.src
3,eth.type
4,ip.vhl
5,ip.dsf
6,ip.len
7,ip.id
8,ip.flags
9,ip.offset
10,ip.ttl
11,ip.p
12,ip.sum
13,ip.dst
14,ip.src
15,tcp.dport
16,tcp.sport
17,tcp.seq
18,tcp.ack
19,tcp.flags
20,tcp.win
21,tcp.sum
22,tcp.urp
23,pad
24,arp.ht
25,arp.p
26,arp.hs
27,arp.ps
28,arp.opcode
29,arp.sen_mac
30,arp.sen_ip
31,arp.tar_mac
32,arp.ter_ip
33,arp.data
34,udp.dport
35,udp.sport
36,udp.len
37,udp.sum
38,ntp.vpeer
39,ntp.rdelay
40,ntp.rdis
41,ntp.id
42,ntp.reftime
43,ntp.otime
44,ntp.rectime
45,ntp.ttime
46,dns.id
47,dns.flags
48,dns.qt
49,dns.ansRR
50,dns.authRR
51,dns.addRR
52,dns.quer
